City,,minimum _salary,Fx,hourly_minimum_salary_hk(other countries),monthly_minimum_salary_hk(China ),hourly_minimum_salary_hk,,,,,
Los Angeles (CA),USD,17.87,7.85,140.2795,0,140.2795,,,,,
Cambridge (MA),USD,15,7.85,117.75,0,117.75,,,,,
London (ON),CAD,17.2,5.7,98.04,0,98.04,,,,,
Kingston (ON),CAD,17.2,5.7,98.04,0,98.04,,,,,
New York (NY),USD,16.5,7.85,129.525,0,129.525,,,,,
Evanston (IL),USD,15,7.85,117.75,0,117.75,,,,,
Berkeley (CA),USD,19.18,7.85,150.563,0,150.563,,,,,
New Haven (CT),USD,16.35,7.85,128.3475,0,128.3475,,,,,
Edmonton (AB),CAD,15,5.7,85.5,0,85.5,,,,,
Durham (NC),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Chicago (IL),USD,16.6,7.85,130.31,0,130.31,,,,,
Seattle (WA),USD,20.76,7.85,162.966,0,162.966,,,,,
Pittsburgh (PA),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Austin (TX),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Bedford,GBP,15,10.5,157.5,0,157.5,,,,,
Ithaca (NY),USD,15.5,7.85,121.675,0,121.675,,,,,
Boston (MA),USD,15,7.85,117.75,0,117.75,,,,,
Minneapolis (MN),USD,15.97,7.85,125.3645,0,125.3645,,,,,
Bloomington (IN),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Madison (WI),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Atlanta (GA),USD,7.25,7.85,56.9125,0,56.9125,,,,,
"Washington, D.C",USD,17.95,7.85,140.9075,0,140.9075,,,,,
Hanover (NH),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Atlanta (GA),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Gainesville (FL),USD,13,7.85,102.05,0,102.05,,,,,
Wellesley (MA),USD,15,7.85,117.75,0,117.75,,,,,
Charlottesville (VA),USD,12.41,7.85,97.4185,0,97.4185,,,,,
Tempe (AZ),USD,14.7,7.85,115.395,0,115.395,,,,,
"College Station (TX),",USD,7.25,7.85,56.9125,0,56.9125,,,,,
College Park (MD),USD,15,7.85,117.75,0,117.75,,,,,
East Lansing (MI),USD,12.48,7.85,97.968,0,97.968,,,,,
Vancouver (BC),CAD,17.85,5.7,101.745,0,101.745,,,,,
Newcastle,GBP,12.21,10.5,128.205,0,128.205,,,,,
Houston (TX),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Chapel Hill (NC),USD,7.25,7.85,56.9125,0,56.9125,,,,,
"Wollongong, Dubai",AUD,24.95,5.1,127.245,0,127.245,,,,,
Notre Dame (IN),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Raleigh (NC),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Tucson (AZ),USD,15,7.85,117.75,0,117.75,,,,,
Pittsburg (PA),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Irvine (CA),USD,16.5,7.85,129.525,0,129.525,,,,,
Auburn (AL),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Waco (TX),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Provo (UT),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Fort Collins (CO),USD,14.81,7.85,116.2585,0,116.2585,,,,,
Columbia (MO),USD,13.75,7.85,107.9375,0,107.9375,,,,,
Eugene (OR),USD,15.05,7.85,118.1425,0,118.1425,,,,,
San Francisco (CA),USD,19.18,7.85,150.563,0,150.563,,,,,
Dallas (TX),USD,7.25,7.85,56.9125,0,56.9125,,,,,
Tampa (FL),USD,13,7.85,102.05,0,102.05,,,,,
Buffalo (NY),USD,15.5,7.85,121.675,0,121.675,,,,,
Waltham (MA),USD,15,7.85,117.75,0,117.75,,,,,
Cleveland (OH),USD,10.7,7.85,83.995,0,83.995,,,,,
Cincinnati (OH),USD,10.7,7.85,83.995,0,83.995,,,,,
Mansfield (CT),USD,16.35,7.85,128.3475,0,128.3475,,,,,
Halifax,CAD,15.7,5.7,89.49,0,89.49,,,,,
Denver (CO),USD,18.81,7.85,147.6585,0,147.6585,,,,,
Malibu,USD,17.27,7.85,135.5695,0,135.5695,,,,,
Fort Worth,USD,7.25,7.85,56.9125,0,56.9125,,,,,
Salem,USD,15.05,7.85,118.1425,0,118.1425,,,,,
Long Beach,USD,17.81,7.85,139.8085,0,139.8085,,,,,
Orange,USD,16.5,7.85,129.525,0,129.525,,,,,
Claremont,USD,16.5,7.85,129.525,0,129.525,,,,,
River Forest,USD,15,7.85,117.75,0,117.75,,,,,
Fairfield,USD,16.35,7.85,128.3475,0,128.3475,,,,,
Hempstead,USD,16.5,7.85,129.525,0,129.525,,,,,
Glassboro,USD,15.49,7.85,121.5965,0,121.5965,,,,,
Vermillion,USD,11.5,7.85,90.275,0,90.275,,,,,
