City,,liv_exp_low ( rent is included ),liv_exp_high ( rent is included ),,,Fx,liv_exp_low_hkd,liv_exp_high_hkd,,,,,
Calgary,CAD,1800,3000,,,5.7,10260,17100,,,,,
Gainesville,USD,1200,2000,,,7.85,9420,15700,,,,,
Ottawa,CAD,1800,3000,,,5.7,10260,17100,,,,,
Loughborough,GBP,900,1500,,,10.5,9450,15750,,,,,
Brisbane,AUD,2000,3500,,,5.1,10200,17850,,,,,
Callaghan,AUD,2000,3500,,,5.1,10200,17850,,,,,
Rochester,USD,1300,2200,,,7.85,10205,17270,,,,,
Hanover,USD,1400,2300,,,7.85,10990,18055,,,,,
Amherst,USD,1300,2200,,,7.85,10205,17270,,,,,
Nashville,USD,1500,2500,,,7.85,11775,19625,,,,,
Harbin,CNY,5000,10000,,,1.1,5500,11000,,,,,
Tianjin,CNY,6000,12000,,,1.1,6600,13200,,,,,
Aberdeen,GBP,900,1500,,,10.5,9450,15750,,,,,
Guildford,GBP,1000,1700,,,10.5,10500,17850,,,,,
Nathan,AUD,2000,3500,,,5.1,10200,17850,,,,,
Raleigh,USD,1400,2300,,,7.85,10990,18055,,,,,
Charlottesville,USD,1300,2200,,,7.85,10205,17270,,,,,
Guangzhou,CNY,6000,12000,,,1.1,6600,13200,,,,,
Brighton,GBP,1000,1700,,,10.5,10500,17850,,,,,
Nova Scotia,CAD,1500,2500,,,5.7,8550,14250,,,,,
Washington D.C.,USD,2000,3500,,,7.85,15700,27475,,,,,
Macau,MOP,15000,25000,,,#N/A,#N/A,#N/A,,,,,
Tucson,USD,1300,2200,,,7.85,10205,17270,,,,,
Swansea,GBP,900,1500,,,10.5,9450,15750,,,,,
Irvine,USD,1800,3000,,,7.85,14130,23550,,,,,
Cleveland,USD,1200,2000,,,7.85,9420,15700,,,,,
Notre Dame,USD,1200,2000,,,7.85,9420,15700,,,,,
Boulder,USD,1500,2500,,,7.85,11775,19625,,,,,
Xi'an,CNY,5000,10000,,,1.1,5500,11000,,,,,
Bloomington,USD,1200,2000,,,7.85,9420,15700,,,,,
Burnaby,CAD,1800,3000,,,5.7,10260,17100,,,,,
Miami,USD,1800,3000,,,7.85,14130,23550,,,,,
Hobart,AUD,1800,3000,,,5.1,9180,15300,,,,,
Chengdu,CNY,5000,10000,,,1.1,5500,11000,,,,,
Leicester,GBP,900,1500,,,10.5,9450,15750,,,,,
New Brunswick,USD,1300,2200,,,7.85,10205,17270,,,,,
Medford,USD,1500,2500,,,7.85,11775,19625,,,,,
Jinan,CNY,5000,10000,,,1.1,5500,11000,,,,,
Xiamen,CNY,6000,12000,,,1.1,6600,13200,,,,,
Shenzhen,CNY,7000,14000,,,1.1,7700,15400,,,,,
Victoria,CAD,1800,3000,,,5.7,10260,17100,,,,,
Blacksburg,USD,1200,2000,,,7.85,9420,15700,,,,,
Saskatoon,CAD,1500,2500,,,5.7,8550,14250,,,,,
Norwich,GBP,900,1500,,,10.5,9450,15750,,,,,
Canterbury,GBP,900,1500,,,10.5,9450,15750,,,,,
Milperra,AUD,2000,3500,,,5.1,10200,17850,,,,,
Buffalo,USD,1200,2000,,,7.85,9420,15700,,,,,
Toowoomba,AUD,1800,3000,,,5.1,9180,15300,,,,,
Murdoch,AUD,2000,3500,,,5.1,10200,17850,,,,,
Pullman,USD,1200,2000,,,7.85,9420,15700,,,,,
Dundee,GBP,900,1500,,,10.5,9450,15750,,,,,
Townsville,AUD,1800,3000,,,5.1,9180,15300,,,,,
Riverside,USD,1500,2500,,,7.85,11775,19625,,,,,
Ames,USD,1200,2000,,,7.85,9420,15700,,,,,
Stony Brook,USD,1400,2300,,,7.85,10990,18055,,,,,
Colchester,GBP,900,1500,,,10.5,9450,15750,,,,,
Fort Collins,USD,1300,2200,,,7.85,10205,17270,,,,,
Santa Cruz,USD,1800,3000,,,7.85,14130,23550,,,,,
Egham,GBP,1000,1700,,,10.5,10500,17850,,,,,
Lawrence,USD,1200,2000,,,7.85,9420,15700,,,,,
Québec,CAD,1500,2500,,,5.7,8550,14250,,,,,
Changchun,CNY,5000,10000,,,1.1,5500,11000,,,,,
Dalian,CNY,6000,12000,,,1.1,6600,13200,,,,,
Joondalup,AUD,2000,3500,,,5.1,10200,17850,,,,,
Changsha,CNY,5000,10000,,,1.1,5500,11000,,,,,
Bruce,AUD,2000,3500,,,5.1,10200,17850,,,,,
Norman Gardens,AUD,1800,3000,,,5.1,9180,15300,,,,,
Chongqing,CNY,5000,10000,,,1.1,5500,11000,,,,,
Guelph,CAD,1500,2500,,,5.7,8550,14250,,,,,
Bradford,GBP,900,1500,,,10.5,9450,15750,,,,,
Stirling,GBP,900,1500,,,10.5,9450,15750,,,,,
Huddersfield,GBP,900,1500,,,10.5,9450,15750,,,,,
Athens,USD,1200,2000,,,7.85,9420,15700,,,,,
Chestnut,USD,1300,2200,,,7.85,10205,17270,,,,,
Hull,GBP,900,1500,,,10.5,9450,15750,,,,,
Iowa City,USD,1200,2000,,,7.85,9420,15700,,,,,
Storrs,USD,1300,2200,,,7.85,10205,17270,,,,,
Salt Lake City,USD,1400,2300,,,7.85,10990,18055,,,,,
